foodh,foodr,rent,oper,furn,cloth,tranop,recr
1.8620333132570727e-01,7.7912109722033218e-02,3.2350629790856156e-01,2.9746564130758907e-02,2.9614948312655744e-02,8.7728039734773555e-02,1.7825534109359767e-01,6.3285857693606937e-02
1.7358901229225251e-01,6.4781614576569613e-02,3.6057804288417383e-01,5.9301226779234911e-02,5.0628978159142038e-02,1.3116070497407975e-01,6.8035172638404862e-02,5.1205783727143621e-02
1.5928630376524860e-01,1.0965694569142946e-01,3.1147754353253809e-01,5.0603546558373486e-02,5.3922084474211054e-02,1.1265772047632104e-01,6.9156183210556471e-02,1.0389671191303936e-01
2.0263897193835148e-01,8.9160461990084788e-02,3.6399780191909725e-01,3.8407921534362191e-02,3.8255642995395099e-02,9.8068338897625174e-02,6.7749996185181391e-02,7.4689679745639226e-02
1.7334520894437996e-01,6.4874587060974348e-02,3.6136102745926757e-01,5.9464710032511248e-02,4.9655924997832661e-02,1.3118783404845993e-01,7.1244428335250146e-02,4.9229978800545741e-02
1.4366031776658403e-01,7.8858922887795210e-02,3.2538841372325411e-01,6.0548995327548184e-02,6.1271493345486892e-02,1.5202035020740895e-01,7.7528083159858943e-02,5.8913048384583382e-02
1.6894506054979358e-01,8.8175815173511946e-02,3.1863659484777029e-01,3.4163219535645786e-02,3.5873074078508330e-02,8.7232706462086584e-02,1.6389713983226503e-01,7.8206586434231756e-02
1.5501435458919374e-01,1.1190065724386737e-01,3.2007677445662103e-01,4.2158653858523500e-02,4.8293013677017584e-02,1.2464784328070481e-01,9.7356250571891900e-02,7.7996419809340314e-02
1.8841510389708432e-01,5.8331806628529610e-02,3.7115039342018458e-01,5.8678557170915475e-02,4.7114191869486843e-02,1.2296182021501045e-01,6.2197048885311627e-02,5.0404443696382688e-02
1.8133246861562818e-01,9.8295338380946243e-02,3.5037083704911487e-01,3.9037695392142829e-02,4.0858422119521551e-02,1.1122560693619218e-01,8.5024788042596208e-02,6.9625355328564231e-02
1.4491085401241330e-01,7.8243202207174831e-02,3.2691500138825191e-01,6.0519179723354924e-02,6.0919639403090531e-02,1.5109091292300911e-01,7.6689443529095694e-02,5.8790696264401476e-02
1.5646098816759896e-01,7.2431734787925070e-02,3.3946273215960121e-01,6.0433015604517408e-02,5.8693796787407757e-02,1.4282390135789558e-01,6.6051075632298645e-02,5.9632644573061014e-02
1.8643860555004113e-01,7.0488363056940978e-02,3.2620869248513595e-01,3.7095144587752545e-02,3.3122020751866203e-02,8.4593263669251267e-02,1.7696003534998833e-01,6.3256750583363081e-02
1.2251050820589542e-01,7.1041563842161010e-02,2.9338592005741626e-01,5.1094038841095167e-02,5.2413773050063048e-02,1.4152040175282357e-01,1.8540987069320564e-01,4.6135376923134075e-02
1.5395026080697352e-01,8.9012728469713198e-02,3.0040630954430225e-01,3.2038660238301798e-02,3.0838361169798514e-02,1.1083890741545101e-01,2.1690930991328747e-01,4.6150328943435910e-02
2.4998920981709710e-01,7.4361139506459867e-02,3.3681582190559894e-01,3.6435573267790212e-02,3.4130383702087638e-02,1.0690739552755259e-01,7.2897014979699984e-02,5.9537436179338030e-02
1.7129058296513155e-01,1.0419251956137919e-01,3.3528958414081506e-01,4.1461591373301673e-02,4.5101189729858465e-02,1.1432058012357536e-01,8.5310231432580846e-02,7.8501291542987336e-02
1.5959848721886044e-01,6.4188160895196383e-02,3.3176134778400568e-01,7.0327397128054803e-02,6.4350412211553326e-02,1.4078236306078942e-01,6.0524515666622439e-02,6.2656739037386291e-02
1.4760228534248623e-01,7.6953116496345245e-02,3.3253807865293655e-01,6.0313356246343958e-02,5.8852033056388663e-02,1.4856588971818444e-01,7.8214306938553108e-02,5.6035891416154740e-02
1.6599836869036866e-01,6.0437239267590648e-02,3.5745947387726501e-01,6.6775845539814943e-02,5.4329014086159630e-02,1.3369507762880833e-01,7.7109397374916844e-02,4.7229879236863899e-02
1.5316712136970612e-01,9.4938043770083899e-02,3.0023833365075425e-01,3.2867323575096169e-02,3.7538237521525394e-02,1.0193733482627224e-01,1.8733978679905489e-01,7.0641073903681767e-02
1.5443436918744929e-01,1.1272246147804438e-01,3.1554938722703008e-01,4.2902715327360195e-02,4.9576098850014308e-02,1.2454714486604593e-01,9.5482701620443589e-02,8.1779420626326441e-02
2.0627578878317143e-01,8.7227594676932030e-02,3.6695889801734638e-01,3.7225318205051761e-02,3.7025647675385666e-02,9.8379611932606303e-02,6.8958119741033136e-02,7.1296042247115554e-02
1.5618395222237488e-01,5.4649742591050446e-02,3.2447284203382176e-01,5.0486531253176960e-02,4.3901687012597196e-02,1.1915949045097697e-01,1.6758907028802336e-01,4.4389086491560460e-02
1.8815507921186983e-01,5.8552172929317983e-02,3.7071116084399325e-01,5.8947908920299594e-02,4.6369454802101376e-02,1.2331209379640717e-01,6.5400176036117905e-02,4.8829179132032781e-02
1.3406598820977586e-01,6.5483845356533246e-02,3.0776692985239112e-01,5.0612388526610479e-02,5.3338491370132628e-02,1.3370387082852997e-01,1.6104585208982819e-01,5.2633964510639571e-02
1.4239587087022437e-01,1.0058113188328965e-01,2.8910599923304242e-01,3.3564393096380443e-02,4.0434712035535406e-02,1.0834165417599140e-01,1.9259103531821356e-01,7.2741304044055391e-02
1.6171736105709938e-01,1.0755760484654311e-01,3.3363975056754486e-01,4.0634683451030058e-02,4.4785570830401966e-02,1.2156014753120915e-01,9.6810806614157974e-02,7.0844064804018683e-02
7.3205448468434339e-02,9.0529608574015666e-02,2.3931703548554295e-01,6.7704430634177554e-02,1.0053751102375282e-01,2.1838092476057058e-01,6.4176284823972474e-02,9.2591650630992825e-02
1.3899146807876525e-01,6.0932728395918553e-02,3.0722527323729071e-01,5.3941642316040359e-02,4.1836220292134012e-02,1.2896231923253823e-01,2.0049342021727470e-01,3.4107481182183978e-02
1.1622974301456639e-01,7.3688237702497161e-02,2.8775393444810587e-01,5.0759409145636585e-02,6.1803722701307372e-02,1.4839408745103544e-01,1.5879456661734356e-01,6.0146817062879387e-02
1.7148290941488251e-01,6.5679894182679777e-02,3.5742258945428868e-01,5.9413184282993296e-02,5.2592099278367672e-02,1.3249805626710151e-01,6.4416591329823872e-02,5.4182419824231678e-02
1.8415431745352032e-01,7.7921518424996797e-02,3.1801372717918991e-01,2.9391561993650998e-02,2.9076000215143262e-02,9.2548336887169208e-02,1.8771694782423989e-01,5.8259376774038488e-02
1.9122541921417230e-01,7.5181969863917703e-02,3.2335251097854728e-01,2.9025717716115545e-02,2.8442172087826175e-02,8.7724500493760821e-02,1.8041649501925483e-01,6.0824048133868353e-02
1.4953055653346861e-01,7.5853196244191082e-02,3.3892001746599576e-01,6.0263494950550389e-02,5.6220843070548490e-02,1.4620334469063315e-01,8.1797112635443717e-02,5.1915869336499006e-02
1.4531219415962135e-01,9.8680152219381839e-02,2.9276674832310556e-01,3.3122948565478115e-02,3.9084445909094309e-02,1.0708817022911959e-01,1.9334103557151183e-01,7.0284939344450154e-02
1.4274714900862101e-01,7.8829075294205603e-02,3.2070461010872031e-01,6.1117306936825835e-02,6.3961967688663829e-02,1.5351872455645926e-01,7.1170876118831675e-02,6.3658838383188823e-02
1.5324087885374574e-01,1.1430149082262374e-01,3.0274569849664551e-01,4.6392085294980387e-02,5.3749497591506601e-02,1.2272734968716770e-01,8.6273605327406952e-02,9.5234804223237005e-02
1.3950842599185501e-01,6.2774493256725933e-02,3.1068169254487316e-01,5.0718351952446381e-02,4.8636310487038224e-02,1.2984794139835004e-01,1.7299011953497428e-01,4.6273934307063350e-02
9.8469402921251795e-02,7.6904922839830053e-02,2.7988043065986834e-01,5.1672528740882226e-02,7.2198218322184982e-02,1.6307046213797582e-01,1.4150098422509472e-01,6.9815381227626663e-02
1.2718068432269533e-01,6.7770727894975166e-02,2.9978416234371547e-01,5.1967776837236988e-02,4.8084879929840479e-02,1.3701685665555996e-01,1.9289381904474898e-01,4.0386424918963937e-02
1.4718930078964265e-01,7.4756795779518173e-02,3.2797587626526042e-01,6.2400601707344322e-02,6.4777763910676772e-02,1.4934969914200427e-01,5.7616020257464449e-02,6.7508501693069822e-02
1.1719023846182024e-01,7.4286879104837347e-02,2.8543171753925489e-01,5.0587676289810687e-02,5.7573715432007483e-02,1.4701784782057514e-01,1.7627379213583749e-01,5.3073711704601255e-02
1.0683872721595519e-01,7.8845441423943716e-02,2.7223871446702208e-01,5.0456381484711807e-02,6.5256472630090948e-02,1.5717059211352596e-01,1.6598390128934587e-01,6.2119367751727550e-02
1.4361269366181667e-01,6.0185669364284745e-02,3.2262123815068949e-01,5.0783387288104907e-02,5.1404261516870733e-02,1.2567328478275772e-01,1.4861241074801618e-01,5.3313083423254887e-02
1.1352632592100516e-01,6.8461789900169281e-02,3.1054598403728489e-01,5.2767328296263856e-02,6.5131196060616917e-02,1.4623624831497664e-01,1.2979028236357290e-01,6.4633007775117657e-02
1.5044208313107857e-01,1.1551766190093253e-01,3.0367848593867469e-01,4.4726155952689486e-02,5.2789842540133580e-02,1.2622154835158680e-01,9.3468021525356618e-02,8.9453417790539724e-02
6.6062328151444305e-02,8.6136963119090221e-02,2.3755868510033448e-01,5.0135762166972138e-02,9.0767236348785155e-02,1.9944975005754711e-01,1.4125269375684482e-01,8.3065058223100063e-02
